# verb build 2026-08-06T003928Z
# cut by cut-verb-build.sh from github.com/hf7y on runnervmvrwv9
# 32 verb(s), 12 project(s). Immutable: install this by id, never by branch.
# project	verb	sha	repo_url
baudin	loge	d61880fe7bdfd657402a7c7dc9f802c651852176	https://github.com/hf7y/baudin.git
bibliothecaire	accroche	1e219ef1f2d8e5e4df151771ed0664010dfd9c01	https://github.com/hf7y/bibliothecaire.git
bibliothecaire	cueille	1e219ef1f2d8e5e4df151771ed0664010dfd9c01	https://github.com/hf7y/bibliothecaire.git
bibliothecaire	fonde	1e219ef1f2d8e5e4df151771ed0664010dfd9c01	https://github.com/hf7y/bibliothecaire.git
bibliothecaire	glane	1e219ef1f2d8e5e4df151771ed0664010dfd9c01	https://github.com/hf7y/bibliothecaire.git
bibliothecaire	range	1e219ef1f2d8e5e4df151771ed0664010dfd9c01	https://github.com/hf7y/bibliothecaire.git
bibliothecaire	trie	1e219ef1f2d8e5e4df151771ed0664010dfd9c01	https://github.com/hf7y/bibliothecaire.git
bibliothecaire	verse	1e219ef1f2d8e5e4df151771ed0664010dfd9c01	https://github.com/hf7y/bibliothecaire.git
crt	sonne	47ef5531c5664cf27a28e52a41b8336d0b189edf	https://github.com/hf7y/crt.git
ecosim	sonde	294ff6b03e8d588087983bd1315c90a3515f5107	https://github.com/hf7y/ecosim.git
gardien	fauche	6bba7038b654df46aa968b3e8d07931900f6c6de	https://github.com/hf7y/gardien.git
gardien	garde	6bba7038b654df46aa968b3e8d07931900f6c6de	https://github.com/hf7y/gardien.git
gardien	transplante	6bba7038b654df46aa968b3e8d07931900f6c6de	https://github.com/hf7y/gardien.git
groc-mangr	mange	7a51ce3eb1af88bc25cdb7f7ab4e8c095b258e30	https://github.com/hf7y/groc-mangr.git
nine-speakers	chante	7e2319e5d4f800578a4c564f88e74182ffe1b562	https://github.com/hf7y/nine-speakers.git
realisateur	arpente	70fcad5e95a0a86e59dc22510e3e3471f6a04792	https://github.com/hf7y/realisateur.git
realisateur	epluche	70fcad5e95a0a86e59dc22510e3e3471f6a04792	https://github.com/hf7y/realisateur.git
realisateur	juge	70fcad5e95a0a86e59dc22510e3e3471f6a04792	https://github.com/hf7y/realisateur.git
scheduler	arme	3107d459a0ca6db7f857ba6d9047a137ffc18edf	https://github.com/hf7y/scheduler.git
scheduler	dose	3107d459a0ca6db7f857ba6d9047a137ffc18edf	https://github.com/hf7y/scheduler.git
scheduler	jauge	3107d459a0ca6db7f857ba6d9047a137ffc18edf	https://github.com/hf7y/scheduler.git
scheduler	rapporte	3107d459a0ca6db7f857ba6d9047a137ffc18edf	https://github.com/hf7y/scheduler.git
scheduler	relis	3107d459a0ca6db7f857ba6d9047a137ffc18edf	https://github.com/hf7y/scheduler.git
senechal	ausculte	a1c8629fc6a3242bdcbe9c7715daabaf7f3bd85b	https://github.com/hf7y/senechal.git
senechal	debarrasse	a1c8629fc6a3242bdcbe9c7715daabaf7f3bd85b	https://github.com/hf7y/senechal.git
senechal	installe	a1c8629fc6a3242bdcbe9c7715daabaf7f3bd85b	https://github.com/hf7y/senechal.git
senechal	lance	a1c8629fc6a3242bdcbe9c7715daabaf7f3bd85b	https://github.com/hf7y/senechal.git
senechal	recense	a1c8629fc6a3242bdcbe9c7715daabaf7f3bd85b	https://github.com/hf7y/senechal.git
senechal	veille	a1c8629fc6a3242bdcbe9c7715daabaf7f3bd85b	https://github.com/hf7y/senechal.git
sequestria	capte	dfb478e066259f1f7311cb17bf10d1ca29026413	https://github.com/hf7y/sequestria.git
vim-arcade	entraine	e02dc8ac3bb77437f4345cd73410587639ee894e	https://github.com/hf7y/vim-arcade.git
vim-arcade	vim-arcade	e02dc8ac3bb77437f4345cd73410587639ee894e	https://github.com/hf7y/vim-arcade.git
